label,measurement,metric,outcome,n,standardized_beta,standard_error,ci95_low,ci95_high,pvalue,p_lt_0_05
Sadness,NRC Emotion Lexicon,sadness,climate_sadness_score_freq,711,-0.15342698328286852,0.04344344451244924,-0.23872332572568647,-0.06813064084005058,0.0004403020850414314,True
Anger,NRC Emotion Lexicon,anger,climate_anger_score_freq,711,-0.1303390577814927,0.03969389568157379,-0.20827358062934803,-0.05240453493363738,0.0010763092163548586,True
Fear,NRC Emotion Lexicon,fear,climate_fear_score_freq,711,-0.22349351179268395,0.03768752499128521,-0.29748875028160576,-0.14949827330376214,4.771795441770418e-09,True
Disgust,NRC Emotion Lexicon,disgust,climate_disgust_score_freq,711,-0.14654213393310547,0.043520976082688304,-0.23199070093913332,-0.06109356692707764,0.000801364671091162,True
Surprise,NRC Emotion Lexicon,surprise,climate_surprise_score_freq,711,-0.08173439983320044,0.04102263195865149,-0.16227774768970205,-0.0011910519766988314,0.046716053193622535,True
Joy,NRC Emotion Lexicon,joy,climate_joy_score_freq,711,0.19851576889641748,0.045295790645600374,0.10958255207890273,0.28744898571393224,1.3538733300518631e-05,True
Trust,NRC Emotion Lexicon,trust,climate_trust_score_freq,711,0.12780525214289223,0.039340276231706967,0.05056502151861135,0.2050454827671731,0.0012151592022440593,True
Anticipation,NRC Emotion Lexicon,anticipation,climate_anticipation_score_freq,711,0.019312621321832805,0.04548274217579303,-0.06998765390733602,0.10861289655100162,0.671249492029978,False
Negative emotion,NRC Emotion Lexicon,negative,climate_negative_score_freq,711,-0.23194239540891434,0.041124518568570745,-0.31268578622396914,-0.15119900459385957,2.4762858922493236e-08,True
Positive emotion,NRC Emotion Lexicon,positive,climate_positive_score_freq,711,0.24211979280904397,0.04204183251663702,0.15957535869459305,0.3246642269234949,1.2711480767648064e-08,True
Anger,LIWC-22,emo_anger,climate_liwc_emo_anger_pct,711,0.0374622608120299,0.044173948368817925,-0.049268344217189716,0.12419286584124951,0.396695660301822,False
Sadness,LIWC-22,emo_sad,climate_liwc_emo_sad_pct,711,0.08619911211721666,0.04496751216699178,-0.002089566638405191,0.1744877908728385,0.0556584496344072,False
Anxiety,LIWC-22,emo_anx,climate_liwc_emo_anx_pct,711,-0.13248641377638726,0.043966576842566045,-0.21880986801646995,-0.046162959536304574,0.002677931770712278,True
Negative emotion,LIWC-22,emo_neg,climate_liwc_emo_neg_pct,711,-0.04925739515239014,0.045594382585958715,-0.13877686383554994,0.04026207353076966,0.28036648182079094,False
Positive emotion,LIWC-22,emo_pos,climate_liwc_emo_pos_pct,711,0.12377118325626985,0.04639512080095136,0.03267955468202473,0.21486281183051498,0.007813981156565626,True
Negative sentiment,VADER,negative,climate_vader_negative_pct,711,-0.30053556217360966,0.041797131704710076,-0.38259955362324893,-0.21847157072397036,1.676525574455484e-12,True
Positive sentiment,VADER,positive,climate_vader_positive_pct,711,0.2741569004043098,0.042588821577178845,0.19053851447171793,0.35777528633690164,2.2692104711769826e-10,True
