date,climate_only_comments,covid_only_comments,co_mention_comments,co_mention_share_among_climate_comments,climate_only_comments_ma7,co_mention_share_among_climate_comments_ma7
2020-01-21,3229,664,6,0.0018547140649149924,3229.0,0.0018547140649149924
2020-01-22,3804,957,21,0.005490196078431373,3516.5,0.0036724550716731824
2020-01-23,3003,2081,13,0.004310344827586207,3345.3333333333335,0.0038850849903108568
2020-01-24,3192,3413,17,0.005297600498597694,3307.0,0.004238213867382566
2020-01-25,2264,4379,18,0.007887817703768623,3098.4,0.004968134634659778
2020-01-26,2042,4906,28,0.01352657004830918,2922.3333333333335,0.006394540536934678
2020-01-27,2412,5318,30,0.012285012285012284,2849.4285714285716,0.007236036500945764
2020-01-28,2486,5502,33,0.013100436681222707,2743.285714285714,0.008842568303275438
2020-01-29,2685,4675,27,0.00995575221238938,2583.4285714285716,0.009480504893840867
2020-01-30,2613,5581,34,0.012844729882886286,2527.714285714286,0.010699702758883736
2020-01-31,2283,5996,31,0.013396715643906655,2397.8571428571427,0.011856719208213589
2020-02-01,1948,4724,22,0.01116751269035533,2352.714285714286,0.012325247063440261
2020-02-02,1864,4124,17,0.009037745879851143,2327.285714285714,0.011683986467946255
2020-02-03,2197,3988,18,0.008126410835214447,2296.5714285714284,0.011089900546546563
2020-02-04,2476,3953,17,0.00681909346169274,2295.1428571428573,0.010192565800899426
2020-02-05,2339,3770,16,0.006794055201698514,2245.714285714286,0.00974089479937216
2020-02-06,2179,3739,20,0.009095043201455207,2183.714285714286,0.009205225273453434
2020-02-07,2560,4201,17,0.006596818005432673,2223.285714285714,0.008233811325100008
2020-02-08,2650,3287,21,0.00786222388618495,2323.5714285714284,0.007761627210218524
2020-02-09,2233,3227,18,0.007996446023989337,2376.285714285714,0.007612870087952553
2020-02-10,2570,4028,21,0.008104978772674644,2429.5714285714284,0.007609808364732581
2020-02-11,2546,3918,29,0.011262135922330097,2439.5714285714284,0.008244528716252203
2020-02-12,3034,3832,25,0.008172605426610004,2538.8571428571427,0.00844146446266813
2020-02-13,2924,4033,23,0.007804546996946046,2645.285714285714,0.008257107862023964
2020-02-14,2489,3513,24,0.00955033824114604,2635.1428571428573,0.008679039324268731
2020-02-15,2131,3098,22,0.010218300046446818,2561.0,0.00901562163287757
2020-02-16,2153,3219,25,0.01147842056932966,2549.5714285714284,0.009513046567926188
2020-02-17,2687,3777,27,0.009948415622697125,2566.285714285714,0.009776394689357969
2020-02-18,3375,3505,19,0.005598114319387153,2684.714285714286,0.008967248746080406
2020-02-19,2765,3171,17,0.006110711718188354,2646.285714285714,0.008672692502020171
2020-02-20,2789,3390,19,0.006766381766381766,2627.0,0.008524383183368131
2020-02-21,2417,4372,25,0.010237510237510237,2616.714285714286,0.008622550611420159
2020-02-22,2077,4492,13,0.006220095693779904,2609.0,0.008051378561039171
2020-02-23,2355,4925,36,0.015056461731493099,2637.8571428571427,0.008562527298491092
2020-02-24,2593,8230,54,0.02040045334340763,2624.4285714285716,0.010055675544306877
2020-02-25,2827,9597,54,0.01874349184311003,2546.1428571428573,0.01193358661912443
2020-02-26,2800,11641,70,0.024390243902439025,2551.1428571428573,0.014544948359731672
2020-02-27,2515,16508,89,0.03417818740399386,2512.0,0.018460920593676256
2020-02-28,2407,18653,96,0.03835397522972433,2510.5714285714284,0.02247755844970684
2020-02-29,2052,16789,99,0.04602510460251046,2507.0,0.028163988293811202
2020-03-01,2194,14860,85,0.03729706011408512,2484.0,0.03134121663418149
2020-03-02,2231,17556,72,0.03126356925749023,2432.285714285714,0.032893090336193295
2020-03-03,2682,18844,85,0.030719190458980847,2411.5714285714284,0.03460390442417484
2020-03-04,4360,18798,114,0.02548055431381314,2634.4285714285716,0.03475966305437114
2020-03-05,2884,19718,142,0.046926635822868476,2687.1428571428573,0.03658086997135323
2020-03-06,2301,20632,113,0.0468102734051367,2672.0,0.03778891256784071
2020-03-07,1768,20207,77,0.04173441734417344,2631.4285714285716,0.03717595724522114
