date,family,measure,group,group_key,score_percent,n_comments
2020-01-21,NRC,Sadness,Climate-only,climate,1.5291131442741228,3229
2020-01-22,NRC,Sadness,Climate-only,climate,1.668968893019486,3804
2020-01-23,NRC,Sadness,Climate-only,climate,1.6513924876306725,3003
2020-01-24,NRC,Sadness,Climate-only,climate,1.7021053195249365,3192
2020-01-25,NRC,Sadness,Climate-only,climate,1.7793911513625944,2264
2020-01-26,NRC,Sadness,Climate-only,climate,1.6856429653578469,2042
2020-01-27,NRC,Sadness,Climate-only,climate,1.6610638061635528,2412
2020-01-28,NRC,Sadness,Climate-only,climate,1.6491889511901756,2486
2020-01-29,NRC,Sadness,Climate-only,climate,1.5944863501843378,2685
2020-01-30,NRC,Sadness,Climate-only,climate,1.700797532808298,2613
2020-01-31,NRC,Sadness,Climate-only,climate,1.6257414770569585,2283
2020-02-01,NRC,Sadness,Climate-only,climate,1.6790012979738198,1948
2020-02-02,NRC,Sadness,Climate-only,climate,1.6451112302971267,1864
2020-02-03,NRC,Sadness,Climate-only,climate,1.727663117082775,2197
2020-02-04,NRC,Sadness,Climate-only,climate,1.6630401902504408,2476
2020-02-05,NRC,Sadness,Climate-only,climate,1.7498374102476502,2339
2020-02-06,NRC,Sadness,Climate-only,climate,1.6068400075975662,2179
2020-02-07,NRC,Sadness,Climate-only,climate,1.6215470941028092,2560
2020-02-08,NRC,Sadness,Climate-only,climate,1.5627526608968778,2650
2020-02-09,NRC,Sadness,Climate-only,climate,1.6136886080264683,2233
2020-02-10,NRC,Sadness,Climate-only,climate,1.6031856698977092,2570
2020-02-11,NRC,Sadness,Climate-only,climate,1.6292195827565317,2546
2020-02-12,NRC,Sadness,Climate-only,climate,1.5766026635314805,3034
2020-02-13,NRC,Sadness,Climate-only,climate,1.631527933788758,2924
2020-02-14,NRC,Sadness,Climate-only,climate,1.5954542644442562,2489
2020-02-15,NRC,Sadness,Climate-only,climate,1.600277315188742,2131
2020-02-16,NRC,Sadness,Climate-only,climate,1.6804938007956935,2153
2020-02-17,NRC,Sadness,Climate-only,climate,1.5607697524940731,2687
2020-02-18,NRC,Sadness,Climate-only,climate,1.6403570103358134,3375
2020-02-19,NRC,Sadness,Climate-only,climate,1.622035616993497,2765
2020-02-20,NRC,Sadness,Climate-only,climate,1.6387889626692866,2789
2020-02-21,NRC,Sadness,Climate-only,climate,1.6941625040972568,2417
2020-02-22,NRC,Sadness,Climate-only,climate,1.729085036925315,2077
2020-02-23,NRC,Sadness,Climate-only,climate,1.7788428970621697,2355
2020-02-24,NRC,Sadness,Climate-only,climate,1.6446570016256885,2593
2020-02-25,NRC,Sadness,Climate-only,climate,1.5894037161282264,2827
2020-02-26,NRC,Sadness,Climate-only,climate,1.599001800510134,2800
2020-02-27,NRC,Sadness,Climate-only,climate,1.6808745137342471,2515
2020-02-28,NRC,Sadness,Climate-only,climate,1.6475889709812217,2407
2020-02-29,NRC,Sadness,Climate-only,climate,1.7188440813652417,2052
2020-03-01,NRC,Sadness,Climate-only,climate,1.6351618554333516,2194
2020-03-02,NRC,Sadness,Climate-only,climate,1.7753477790573318,2231
2020-03-03,NRC,Sadness,Climate-only,climate,1.7757522608398773,2682
2020-03-04,NRC,Sadness,Climate-only,climate,2.1084540368053952,4360
2020-03-05,NRC,Sadness,Climate-only,climate,1.7856047169306415,2884
2020-03-06,NRC,Sadness,Climate-only,climate,1.7223712134389226,2301
2020-03-07,NRC,Sadness,Climate-only,climate,1.6622798402493868,1768
2020-03-08,NRC,Sadness,Climate-only,climate,1.7555515259793637,2119
2020-03-09,NRC,Sadness,Climate-only,climate,1.65294325643269,2286
2020-03-10,NRC,Sadness,Climate-only,climate,1.8830509441529415,2377
2020-03-11,NRC,Sadness,Climate-only,climate,2.008229472078784,3585
2020-03-12,NRC,Sadness,Climate-only,climate,1.8385735885714047,2339
2020-03-13,NRC,Sadness,Climate-only,climate,1.836814353032168,1656
2020-03-14,NRC,Sadness,Climate-only,climate,1.8544043998791544,1336
2020-03-15,NRC,Sadness,Climate-only,climate,1.8511865823742,1408
2020-03-16,NRC,Sadness,Climate-only,climate,1.7719324812522117,1847
2020-03-17,NRC,Sadness,Climate-only,climate,1.8139792480282817,1541
2020-03-18,NRC,Sadness,Climate-only,climate,1.8457377313441576,1903
2020-03-19,NRC,Sadness,Climate-only,climate,1.887485722050165,1710
2020-03-20,NRC,Sadness,Climate-only,climate,1.7805992904139367,1198
2020-03-21,NRC,Sadness,Climate-only,climate,1.8223337872104663,1186
2020-03-22,NRC,Sadness,Climate-only,climate,1.701231145336567,1332
