measurement,metric,label,measurement_order,direction,specification,n,selected_p,selected_q,horizon_key,estimate,se,ci_low,ci_high,pvalue
NRC Emotion Lexicon,anger,Anger,0,COVID-to-climate,ECM,705,2,1,short_run,0.14394243380332206,0.05054556044689895,0.044873135327400115,0.243011732279244,0.004535693606983502
NRC Emotion Lexicon,anger,Anger,0,COVID-to-climate,ECM,705,2,1,long_run,0.1322650323026268,0.05466878370919649,0.02511421623260167,0.2394158483726519,0.015546621667837844
NRC Emotion Lexicon,anger,Anger,0,climate-to-COVID,ECM,705,2,1,short_run,0.07179279997493043,0.026854499717041652,0.019157980529528794,0.12442761942033206,0.0076891438139976955
NRC Emotion Lexicon,anger,Anger,0,climate-to-COVID,ECM,705,2,1,long_run,0.16678543049312436,0.11337305871548618,-0.05542576458922854,0.38899662557547726,0.14125853275247308
NRC Emotion Lexicon,sadness,Sadness,0,COVID-to-climate,ECM,705,2,1,short_run,0.19089897403961542,0.08253771575547955,0.02912505115887551,0.3526728969203553,0.021027831875905865
NRC Emotion Lexicon,sadness,Sadness,0,COVID-to-climate,ECM,705,2,1,long_run,0.31425706805436415,0.09917446748281664,0.11987511178804355,0.5086390243206848,0.00153106779048291
NRC Emotion Lexicon,sadness,Sadness,0,climate-to-COVID,ECM,705,3,1,short_run,0.06279210802029964,0.030540128692825127,0.0029334557823623916,0.12265076025823687,0.040159753450943296
NRC Emotion Lexicon,sadness,Sadness,0,climate-to-COVID,ECM,705,3,1,long_run,0.34856642148335176,0.10665397392518766,0.13952463258998396,0.5576082103767196,0.0010823419747386879
NRC Emotion Lexicon,fear,Fear,0,COVID-to-climate,ECM,705,4,1,short_run,0.276586648456504,0.12996569589509077,0.02185388450212611,0.5313194124108819,0.033685132872009485
NRC Emotion Lexicon,fear,Fear,0,COVID-to-climate,ECM,705,4,1,long_run,0.28943413072764507,0.14153172432729996,0.012031951046137135,0.5668363104091529,0.04085363598587213
NRC Emotion Lexicon,fear,Fear,0,climate-to-COVID,ECM,705,2,1,short_run,0.024528580013950713,0.011331139717234444,0.0023195461681712014,0.04673761385973023,0.030758001443428468
NRC Emotion Lexicon,fear,Fear,0,climate-to-COVID,ECM,705,2,1,long_run,0.0556229435509943,0.06087216214125921,-0.06368649424587376,0.17493238134786238,0.3608395440374903
NRC Emotion Lexicon,disgust,Disgust,0,COVID-to-climate,ECM,705,1,1,short_run,0.27021855368734066,0.08933183991656526,0.09512814745087275,0.4453089599238086,0.0025810316582823584
NRC Emotion Lexicon,disgust,Disgust,0,COVID-to-climate,ECM,705,1,1,long_run,0.375340037206567,0.10189870822610364,0.17561856908340387,0.5750615053297301,0.00023008744122923842
NRC Emotion Lexicon,disgust,Disgust,0,climate-to-COVID,ECM,705,3,1,short_run,0.040880910632985094,0.018005824098399053,0.0055894954001229485,0.07617232586584724,0.023494623622208458
NRC Emotion Lexicon,disgust,Disgust,0,climate-to-COVID,ECM,705,3,1,long_run,0.149243303808087,0.06580307984234639,0.020269267317088085,0.27821734029908596,0.023327429522039228
NRC Emotion Lexicon,joy,Joy,0,COVID-to-climate,ECM,705,2,1,short_run,0.1848678839098007,0.15081047653736734,-0.11072065010343929,0.48045641792304067,0.2206879443094558
NRC Emotion Lexicon,joy,Joy,0,COVID-to-climate,ECM,705,2,1,long_run,0.05121223517317804,0.2246970012562483,-0.3891938872890687,0.4916183576354247,0.8197108745870858
NRC Emotion Lexicon,joy,Joy,0,climate-to-COVID,ECM,705,3,1,short_run,0.008204422795661586,0.00881249933547031,-0.009068075901860219,0.02547692149318339,0.3521857669616435
NRC Emotion Lexicon,joy,Joy,0,climate-to-COVID,ECM,705,3,1,long_run,0.03471144155325725,0.052294823906501996,-0.06778641330348667,0.13720929641000115,0.5068411246090452
NRC Emotion Lexicon,anticipation,Anticipation,0,COVID-to-climate,ECM,705,4,1,short_run,0.1872242320038947,0.10899613975683779,-0.02640820191950735,0.40085666592729674,0.08630601614309148
NRC Emotion Lexicon,anticipation,Anticipation,0,COVID-to-climate,ECM,705,4,1,long_run,0.07846622445934646,0.1795270461449409,-0.27340678598473767,0.4303392349034306,0.6620592162210761
NRC Emotion Lexicon,anticipation,Anticipation,0,climate-to-COVID,ECM,705,2,1,short_run,0.020485740441591627,0.013713292698280284,-0.006392313247037731,0.04736379413022099,0.13567673376856007
NRC Emotion Lexicon,anticipation,Anticipation,0,climate-to-COVID,ECM,705,2,1,long_run,0.06749848948725763,0.06841249250062273,-0.06658999581396292,0.2015869747884782,0.3238192404262277
NRC Emotion Lexicon,trust,Trust,0,COVID-to-climate,ECM,705,4,1,short_run,0.1553403231014229,0.07389432858433062,0.010507439076134883,0.3001732071267109,0.03590492612662867
NRC Emotion Lexicon,trust,Trust,0,COVID-to-climate,ECM,705,4,1,long_run,0.2352676895668461,0.18061319398582862,-0.11873417064537797,0.5892695497790702,0.19270957421719137
NRC Emotion Lexicon,trust,Trust,0,climate-to-COVID,ECM,705,3,1,short_run,0.045486317582482054,0.02168431571057883,0.002985058789747544,0.08798757637521656,0.03630484374351092
NRC Emotion Lexicon,trust,Trust,0,climate-to-COVID,ECM,705,3,1,long_run,0.15253442139515141,0.08728258945303369,-0.018539453932794603,0.32360829672309743,0.08053456992529814
