month,source_corpus_n,development_excluded_n,formal_sampling_pool_n,main_sample_quota_n,main_sample_selected_n,reserve_quota_n,reserve_selected_n
2020-01,258,1,257,1,1,1,1
2020-02,953,1,952,3,3,2,2
2020-03,6711,28,6683,13,13,8,8
2020-04,6261,13,6248,12,12,8,8
2020-05,4704,7,4697,9,9,6,6
2020-06,4047,10,4037,8,8,6,6
2020-07,5418,11,5407,11,11,7,7
2020-08,5496,12,5484,11,11,7,7
2020-09,6597,7,6590,13,13,8,8
2020-10,6454,11,6443,12,12,8,8
2020-11,7084,14,7070,14,14,9,9
2020-12,4846,5,4841,10,10,6,6
2021-01,5118,10,5108,10,10,7,7
2021-02,4220,10,4210,8,8,6,6
2021-03,4111,10,4101,8,8,6,6
2021-04,4224,13,4211,8,8,6,6
2021-05,3675,8,3667,8,8,5,5
2021-06,3719,9,3710,8,8,5,5
2021-07,5665,8,5657,11,11,7,7
2021-08,8668,12,8656,16,16,11,11
2021-09,7087,10,7077,14,14,9,9
2021-10,4957,8,4949,10,10,7,7
2021-11,4986,12,4974,10,10,7,7
2021-12,6475,10,6465,12,12,8,8
