panel,display_order,code,category,quarter,metric,n,percent_sample,percent_substantive,months_observed,quarters_observed,negative_deviant_n,C1,C2,C3,C4,C5,O0,dominant_category
A,1,,,,Author-ready rows,240,,,,,,,,,,,,
A,2,,,,Substantive rows,202,,,,,,,,,,,,
A,3,,,,O0 boundary rows,38,,,,,,,,,,,,
A,4,,,,Negative/deviant,36,,,,,,,,,,,,
A,5,,,,Quote candidates,23,,,,,,,,,,,,
A,6,,,,Privacy-approved quotes,23,,,,,,,,,,,,
B1,1,C1,Crisis comparison and attention competition,,,31,12.9,15.3,,,,,,,,,,
B1,2,C2,Causal links and shared drivers,,,15,6.2,7.4,,,,,,,,,,
B1,3,C3,"Science, misinformation, and politicization",,,70,29.2,34.7,,,,,,,,,,
B1,4,C4,"Governance, collective action, and policy capacity",,,46,19.2,22.8,,,,,,,,,,
B1,5,C5,"Social consequences, inequality, and future transition",,,40,16.7,19.8,,,,,,,,,,
B1,6,O0,Enumerative or rhetorical co-mention,,,38,15.8,,,,,,,,,,,
B2,1,C1,Crisis comparison and attention competition,,,,,,16,8,6,,,,,,,
B2,2,C2,Causal links and shared drivers,,,,,,13,8,3,,,,,,,
B2,3,C3,"Science, misinformation, and politicization",,,,,,22,8,10,,,,,,,
B2,4,C4,"Governance, collective action, and policy capacity",,,,,,21,8,7,,,,,,,
B2,5,C5,"Social consequences, inequality, and future transition",,,,,,17,8,10,,,,,,,
B2,6,O0,Enumerative or rhetorical co-mention,,,,,,21,8,0,,,,,,,
C1,1,,,2020-Q1,,17,,,,,,4,2,1,2,5,,
C2,1,,,2020-Q1,,17,,,,,5,,,,,,3,C5
C1,2,,,2020-Q2,,29,,,,,,6,1,5,6,1,,
C2,2,,,2020-Q2,,29,,,,,7,,,,,,10,O0
C1,3,,,2020-Q3,,35,,,,,,4,2,13,7,5,,
C2,3,,,2020-Q3,,35,,,,,2,,,,,,4,C3
C1,4,,,2020-Q4,,36,,,,,,5,2,12,8,5,,
C2,4,,,2020-Q4,,36,,,,,6,,,,,,4,C3
C1,5,,,2021-Q1,,26,,,,,,2,2,9,5,3,,
C2,5,,,2021-Q1,,26,,,,,4,,,,,,5,C3
C1,6,,,2021-Q2,,24,,,,,,4,1,6,6,5,,
C2,6,,,2021-Q2,,24,,,,,1,,,,,,2,C3/C4
C1,7,,,2021-Q3,,41,,,,,,5,2,14,5,8,,
C2,7,,,2021-Q3,,41,,,,,4,,,,,,7,C3
C1,8,,,2021-Q4,,32,,,,,,1,3,10,7,8,,
C2,8,,,2021-Q4,,32,,,,,7,,,,,,3,C3
