panel,model_id,measurement_system,outcome_label,outcome_column,focal_predictor,term,is_focal_term,estimate,standard_error,t_statistic,pvalue,ci95_low,ci95_high,significance,n,df_resid,r_squared,adjusted_r_squared,outcome_scale,predictor_scale,inference
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,const,False,7.702362211,0.05192052394,148.3490849,0,7.600422072,7.804302351,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,US_daily_covid_confirm,True,-0.005671518217,0.00773604157,-0.7331292323,0.4637271695,-0.02086037026,0.009517333825,,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,debates,False,0.1188290743,0.06914780179,1.71847942,0.08615519682,-0.0169348976,0.2545930462,,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,climatenews,False,0.0001752431811,1.689109081e-05,10.37488834,1.528921119e-23,0.0001420794143,0.000208406948,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,WinterStorm,False,0.3443527334,0.06586509417,5.228152146,2.26833347e-07,0.2150339906,0.4736714762,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,Wildfire,False,0.1389417603,0.02143515423,6.481957572,1.71786e-10,0.0968562333,0.1810272872,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,TropicalCyclone,False,0.1081578549,0.03637070441,2.973762997,0.003043716109,0.03674804632,0.1795676636,**,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,SevereStorm,False,0.08482833431,0.02875778653,2.94975186,0.003287311404,0.02836563814,0.1412910305,**,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,Flood,False,0.08371320816,0.07333015539,1.141593219,0.2540168835,-0.06026234708,0.2276887634,,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,Drought,False,0.1007254301,0.02975881968,3.384725307,0.0007525882983,0.04229731733,0.1591535428,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
Figure 1b,B1,Daily attention,Climate-only comment volume,climate_only_comments,US_daily_covid_confirm,GovernmentResponseIndex_Average,False,-0.01008806531,0.001495415048,-6.745996923,3.205869907e-11,-0.01302414544,-0.007151985187,***,711,694,0.629323837,0.6207779888,log(1 + daily climate-only comments),log(1 + confirmed cases),Conventional OLS; exact two-sided p values
