panel,model_id,measurement_system,outcome_label,outcome_column,focal_predictor,term,is_focal_term,estimate,standard_error,t_statistic,pvalue,ci95_low,ci95_high,significance,n,df_resid,r_squared,adjusted_r_squared,outcome_scale,predictor_scale,inference
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,const,False,0.3892745801,0.1443685156,2.696395253,0.007179421539,0.1058231531,0.6727260072,**,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,US_daily_covid_death,True,-0.1534269833,0.04344344451,-3.531648676,0.000440302085,-0.2387233257,-0.06813064084,***,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,climatenews,False,-0.1092689701,0.04991822736,-2.188959342,0.02893224047,-0.2072778242,-0.01126011601,*,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,GovernmentResponseIndex_Average,False,0.07012502789,0.05541843855,1.265373578,0.2061621121,-0.03868287547,0.1789329313,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,debates,False,-0.4534753942,0.3182921715,-1.424714256,0.1546893381,-1.07840646,0.171455671,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,WinterStorm,False,-1.33180119,0.3074785719,-4.33136261,1.700556912e-05,-1.935500962,-0.7281014175,***,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,Wildfire,False,0.4082184085,0.09645314977,4.232297332,2.624105417e-05,0.218843441,0.597593376,***,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,TropicalCyclone,False,-0.194314499,0.1673566521,-1.161080224,0.2460084806,-0.5229005601,0.134271562,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,SevereStorm,False,-0.02902336019,0.1329711004,-0.2182681808,0.8272843297,-0.2900972378,0.2320505175,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,Flood,False,-0.4542608905,0.3415962758,-1.329818042,0.1840151239,-1.124946957,0.216425176,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,Drought,False,-0.6979301976,0.1367698525,-5.1029535,4.32155379e-07,-0.9664624999,-0.4293978952,***,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_1,False,-0.1663061869,0.1312333689,-1.267255335,0.2054890724,-0.4239682232,0.09135584938,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_2,False,0.1093057077,0.1312631366,0.8327220462,0.4052879753,-0.1484147741,0.3670261895,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_3,False,-0.1241644183,0.1320178419,-0.9405124075,0.3472820277,-0.3833666795,0.1350378428,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_4,False,-0.07186387613,0.1324802251,-0.5424498342,0.5876827987,-0.331973975,0.1882462227,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_5,False,0.137745844,0.1325436158,1.03924918,0.299050793,-0.1224887155,0.3979804035,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_sadness,NRC Emotion Lexicon,Sadness,climate_sadness_score_freq,US_daily_covid_death,weekday_6,False,0.18258931,0.1323657795,1.37942987,0.1682065723,-0.07729608769,0.4424747076,,711,694,0.1517873394,0.1322320043,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_anger,NRC Emotion Lexicon,Anger,climate_anger_score_freq,US_daily_covid_death,const,False,0.5424163891,0.1319082513,4.11207323,4.390971439e-05,0.2834292968,0.8014034815,***,711,694,0.2918851623,0.2755597482,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_anger,NRC Emotion Lexicon,Anger,climate_anger_score_freq,US_daily_covid_death,US_daily_covid_death,True,-0.1303390578,0.03969389568,-3.283604583,0.001076309216,-0.2082735806,-0.05240453493,**,711,694,0.2918851623,0.2755597482,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
Figure 1c,C_NRC_anger,NRC Emotion Lexicon,Anger,climate_anger_score_freq,US_daily_covid_death,climatenews,False,-0.2431904197,0.0456098482,-5.331971697,1.31567026e-07,-0.3327402534,-0.153640586,***,711,694,0.2918851623,0.2755597482,Standardized daily climate-only language score,Standardized daily COVID-19 deaths,Conventional OLS; exact two-sided p values
