family,measure,group,weighted_sum,n_comments,weighted_mean_percent
LIWC-22,Anger,COVID-only,2947740.099999999,24438852,0.1206169626953017
LIWC-22,Anger,Climate-only,233550.91999999995,1351032,0.17286853309174022
LIWC-22,Anger,Co-mention,20071.279999999995,121642,0.16500287729567087
LIWC-22,Anxiety,COVID-only,3873722.129999999,24438852,0.1585067142270021
LIWC-22,Anxiety,Climate-only,163819.41999999995,1351032,0.12125502578769412
LIWC-22,Anxiety,Co-mention,22349.729999999996,121642,0.18373366107101163
LIWC-22,Negative,COVID-only,15978245.63,24438852,0.6538050817607963
LIWC-22,Negative,Climate-only,820388.15,1351032,0.6072307317665311
LIWC-22,Negative,Co-mention,86266.5,121642,0.7091835056970455
LIWC-22,Positive,COVID-only,13149461.43,24438852,0.5380556103862816
LIWC-22,Positive,Climate-only,552242.24,1351032,0.40875585478360243
LIWC-22,Positive,Co-mention,48516.49,121642,0.3988465332697588
LIWC-22,Sadness,COVID-only,2023590.249999999,24438852,0.08280218113354912
LIWC-22,Sadness,Climate-only,88425.46999999994,1351032,0.06545031501844512
LIWC-22,Sadness,Co-mention,9916.519999999995,121642,0.08152217161835545
NRC,Anger,COVID-only,33536910.015930355,24438852,1.372278453011228
NRC,Anger,Climate-only,2287640.200469762,1351032,1.693253898108825
NRC,Anger,Co-mention,234172.09406743755,121642,1.9250924357330326
NRC,Anticipation,COVID-only,49421050.95901286,24438852,2.022232916628525
NRC,Anticipation,Climate-only,2513885.586318805,1351032,1.860715058058436
NRC,Anticipation,Co-mention,237308.87132944821,121642,1.9508793946946632
NRC,Disgust,COVID-only,25291151.250361007,24438852,1.0348747662271947
NRC,Disgust,Climate-only,1484086.5864459816,1351032,1.0984836676303609
NRC,Disgust,Co-mention,153537.15825219685,121642,1.2622051450337617
NRC,Fear,COVID-only,61396755.00765888,24438852,2.5122601915858764
NRC,Fear,Climate-only,4899057.9394595325,1351032,3.6261598092861846
NRC,Fear,Co-mention,478329.27737873024,121642,3.932270740194425
NRC,Joy,COVID-only,31230878.228757724,24438852,1.2779192013093628
NRC,Joy,Climate-only,1840238.9211525677,1351032,1.3620986928159864
NRC,Joy,Co-mention,160931.52534159756,121642,1.3229930890777655
NRC,Negative,COVID-only,96998595.33392139,24438852,3.9690323970177235
NRC,Negative,Climate-only,5015081.4160934575,1351032,3.71203747660563
NRC,Negative,Co-mention,571906.891000628,121642,4.701557776102234
NRC,Positive,COVID-only,92415251.93990052,24438852,3.7814890789428457
NRC,Positive,Climate-only,5603111.507006776,1351032,4.147282601009285
NRC,Positive,Co-mention,499632.21527555643,121642,4.107398885874586
NRC,Sadness,COVID-only,54246223.863517605,24438852,2.219671523994564
NRC,Sadness,Climate-only,2254733.144499377,1351032,1.6688969206498268
NRC,Sadness,Co-mention,290106.7238532016,121642,2.3849223446934578
NRC,Surprise,COVID-only,22502613.14959301,24438852,0.9207721029446477
NRC,Surprise,Climate-only,1183015.7274781265,1351032,0.8756385692404965
NRC,Surprise,Co-mention,116407.95259388829,121642,0.9569717087345513
NRC,Trust,COVID-only,56854912.76588683,24438852,2.3264150364299776
NRC,Trust,Climate-only,3462077.423303496,1351032,2.5625428733764233
NRC,Trust,Co-mention,322590.71179210924,121642,2.6519681671799975
VADER,Negative,COVID-only,219801365.55371094,24438852,8.993931693424509
VADER,Negative,Climate-only,13676142.51171875,1351032,10.12273766403664
VADER,Negative,Co-mention,1443121.8042907715,121642,11.863680343062194
VADER,Positive,COVID-only,233871704.71777344,24438852,9.56966819545261
VADER,Positive,Climate-only,13910526.403320312,1351032,10.296222741815377
VADER,Positive,Co-mention,1198255.5977401733,121642,9.850673268609308
