measurement,metric,label,direction,dependent_variable,predictor_variable,n,selected_p,selected_q,horizon,coefficient,hac_standard_error,ci95_low,ci95_high,p_value
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,climate_anger_score_freq,covid_anger_score_freq,705,2,1,short run,0.143942433803322,0.0505455604468989,0.0448731353274001,0.243011732279244,0.0045356936069835
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,climate_anger_score_freq,covid_anger_score_freq,705,2,1,long run,0.1322650323026268,0.0546687837091964,0.0251142162326016,0.2394158483726519,0.0155466216678378
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,covid_anger_score_freq,climate_anger_score_freq,705,2,1,short run,0.0717927999749304,0.0268544997170416,0.0191579805295287,0.124427619420332,0.0076891438139976
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,covid_anger_score_freq,climate_anger_score_freq,705,2,1,long run,0.1667854304931243,0.1133730587154861,-0.0554257645892285,0.3889966255754772,0.141258532752473
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,climate_sadness_score_freq,covid_sadness_score_freq,705,2,1,short run,0.1908989740396154,0.0825377157554795,0.0291250511588755,0.3526728969203553,0.0210278318759058
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,climate_sadness_score_freq,covid_sadness_score_freq,705,2,1,long run,0.3142570680543641,0.0991744674828166,0.1198751117880435,0.5086390243206848,0.0015310677904829
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,covid_sadness_score_freq,climate_sadness_score_freq,705,3,1,short run,0.0627921080202996,0.0305401286928251,0.0029334557823623,0.1226507602582368,0.0401597534509432
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,covid_sadness_score_freq,climate_sadness_score_freq,705,3,1,long run,0.3485664214833517,0.1066539739251876,0.1395246325899839,0.5576082103767196,0.0010823419747386
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,climate_fear_score_freq,covid_fear_score_freq,705,4,1,short run,0.276586648456504,0.1299656958950907,0.0218538845021261,0.5313194124108819,0.0336851328720094
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,climate_fear_score_freq,covid_fear_score_freq,705,4,1,long run,0.289434130727645,0.1415317243272999,0.0120319510461371,0.5668363104091529,0.0408536359858721
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,covid_fear_score_freq,climate_fear_score_freq,705,2,1,short run,0.0245285800139507,0.0113311397172344,0.0023195461681712,0.0467376138597302,0.0307580014434284
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,covid_fear_score_freq,climate_fear_score_freq,705,2,1,long run,0.0556229435509943,0.0608721621412592,-0.0636864942458737,0.1749323813478623,0.3608395440374903
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,climate_disgust_score_freq,covid_disgust_score_freq,705,1,1,short run,0.2702185536873406,0.0893318399165652,0.0951281474508727,0.4453089599238086,0.0025810316582823
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,climate_disgust_score_freq,covid_disgust_score_freq,705,1,1,long run,0.375340037206567,0.1018987082261036,0.1756185690834038,0.5750615053297301,0.0002300874412292
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,covid_disgust_score_freq,climate_disgust_score_freq,705,3,1,short run,0.040880910632985,0.018005824098399,0.0055894954001229,0.0761723258658472,0.0234946236222084
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,covid_disgust_score_freq,climate_disgust_score_freq,705,3,1,long run,0.149243303808087,0.0658030798423463,0.020269267317088,0.2782173402990859,0.0233274295220392
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,climate_joy_score_freq,covid_joy_score_freq,705,2,1,short run,0.1848678839098007,0.1508104765373673,-0.1107206501034392,0.4804564179230406,0.2206879443094558
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,climate_joy_score_freq,covid_joy_score_freq,705,2,1,long run,0.051212235173178,0.2246970012562483,-0.3891938872890687,0.4916183576354247,0.8197108745870858
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,covid_joy_score_freq,climate_joy_score_freq,705,3,1,short run,0.0082044227956615,0.0088124993354703,-0.0090680759018602,0.0254769214931833,0.3521857669616435
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,covid_joy_score_freq,climate_joy_score_freq,705,3,1,long run,0.0347114415532572,0.0522948239065019,-0.0677864133034866,0.1372092964100011,0.5068411246090452
NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,climate_anticipation_score_freq,covid_anticipation_score_freq,705,4,1,short run,0.1872242320038947,0.1089961397568377,-0.0264082019195073,0.4008566659272967,0.0863060161430914
NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,climate_anticipation_score_freq,covid_anticipation_score_freq,705,4,1,long run,0.0784662244593464,0.1795270461449409,-0.2734067859847376,0.4303392349034306,0.6620592162210761
NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,covid_anticipation_score_freq,climate_anticipation_score_freq,705,2,1,short run,0.0204857404415916,0.0137132926982802,-0.0063923132470377,0.0473637941302209,0.13567673376856
NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,covid_anticipation_score_freq,climate_anticipation_score_freq,705,2,1,long run,0.0674984894872576,0.0684124925006227,-0.0665899958139629,0.2015869747884782,0.3238192404262277
NRC Emotion Lexicon,trust,Trust,COVID-to-climate,climate_trust_score_freq,covid_trust_score_freq,705,4,1,short run,0.1553403231014229,0.0738943285843306,0.0105074390761348,0.3001732071267109,0.0359049261266286
NRC Emotion Lexicon,trust,Trust,COVID-to-climate,climate_trust_score_freq,covid_trust_score_freq,705,4,1,long run,0.2352676895668461,0.1806131939858286,-0.1187341706453779,0.5892695497790702,0.1927095742171913
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,covid_trust_score_freq,climate_trust_score_freq,705,3,1,short run,0.045486317582482,0.0216843157105788,0.0029850587897475,0.0879875763752165,0.0363048437435109
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,covid_trust_score_freq,climate_trust_score_freq,705,3,1,long run,0.1525344213951514,0.0872825894530336,-0.0185394539327946,0.3236082967230974,0.0805345699252981
NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,climate_surprise_score_freq,covid_surprise_score_freq,705,2,1,short run,0.1200625917270647,0.0704765530098095,-0.0180714521721619,0.2581966356262914,0.0889167639396214
NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,climate_surprise_score_freq,covid_surprise_score_freq,705,2,1,long run,0.217879123434271,0.0886195618867073,0.0441847821363245,0.3915734647322174,0.0139484008599095
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,covid_surprise_score_freq,climate_surprise_score_freq,705,2,1,short run,0.06464721990037,0.0403455469902248,-0.0144300522004707,0.1437244920012108,0.1095458666216173
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,covid_surprise_score_freq,climate_surprise_score_freq,705,2,1,long run,0.2104327456811735,0.1638150844956988,-0.1106448199303961,0.5315103112927432,0.1989408746753102
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,climate_negative_score_freq,covid_negative_score_freq,705,4,1,short run,0.317554258363616,0.1144303847223583,0.0932707043077935,0.5418378124194385,0.0056709824835883
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,climate_negative_score_freq,covid_negative_score_freq,705,4,1,long run,0.4119575727133056,0.1565747549362258,0.1050710530383028,0.7188440923883084,0.0085119010249999
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,covid_negative_score_freq,climate_negative_score_freq,705,2,1,short run,0.03946979715396,0.0140484879503414,0.0119347607712907,0.0670048335366292,0.0051039956352692
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,covid_negative_score_freq,climate_negative_score_freq,705,2,1,long run,0.1132265488804916,0.0556299966375244,0.0041917554709436,0.2222613422900395,0.0418156048403023
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,climate_positive_score_freq,covid_positive_score_freq,705,4,1,short run,0.1279373353785231,0.1150462372151515,-0.097553289563174,0.3534279603202201,0.2665107658964435
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,climate_positive_score_freq,covid_positive_score_freq,705,4,1,long run,0.3317019121120612,0.2638390654491763,-0.1854226561683243,0.8488264803924468,0.2086765046259252
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,covid_positive_score_freq,climate_positive_score_freq,705,2,1,short run,0.0186067273009892,0.013046280929412,-0.0069639833206583,0.0441774379226369,0.1542675312076257
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,covid_positive_score_freq,climate_positive_score_freq,705,2,1,long run,0.0627006331046249,0.0588036965816542,-0.0525546121954174,0.1779558784046673,0.2863014873005786
LIWC-22,emo_anger,Anger,COVID-to-climate,climate_liwc_emo_anger_pct,covid_liwc_emo_anger_pct,705,1,1,short run,0.1727155319875535,0.0949239551474912,-0.0133354201015294,0.3587664840766364,0.0692725337527371
