measurement,metric,label,direction,n,selected_p,selected_q,bounds_f,pss_case,pss_k,pss_n,pss_covariance,pss_core_fixed_controls,pss_critical_value_method,pss_90_lower,pss_90_upper,pss_95_lower,pss_95_upper,pss_99_lower,pss_99_upper,pss_95_decision,ecm_coefficient,ecm_hac_se,ecm_pvalue,bic,aic
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,705,2,1,83.0355225377253,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.7015781153668486,0.053538895766772,3.8778507120123953e-35,1790.472190661514,1667.400849985583
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,705,2,1,29.45857426871924,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.277666491141486,0.0659183419694216,2.8692018618641757e-05,1324.313220097163,1201.2418794212315
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,705,2,1,80.00071427107467,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.6731007200047968,0.049881880860114,6.201923417741467e-37,1900.251987865712,1777.1806471897808
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,705,3,1,28.81280870123125,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2653129464464996,0.0394817653392434,3.857916537144978e-11,1145.1168622047978,1017.4873237260545
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,705,4,1,21.861790508038958,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.448062974003045,0.0563037703237307,7.375225931324346e-15,1662.2251591207284,1530.037422839173
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,705,2,1,20.400155745345494,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2106671558822935,0.0282086366522904,2.505543960180885e-13,49.36811309867407,-73.70322757725718
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,705,1,1,201.24215296062664,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.794848049843676,0.045417599730398,6.774654782107497e-57,1979.8235964617324,1861.3104535886132
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,705,3,1,14.458249764157568,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2409623679118186,0.0349970985627736,1.3172708217591691e-11,659.4134341597537,531.7838956810101
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,705,2,1,83.03407074023373,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.6335343534292088,0.0703255658346378,2.089369949485629e-18,2026.3896042411104,1903.3182635651797
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,705,3,1,4.741289879392762,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,below_lower_bound,-0.2155663035178897,0.0285220319855578,1.3327813742450674e-13,-21.457819818717358,-149.0873582974609
NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,705,4,1,40.92546838307085,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.5193801848384197,0.0654691322422659,8.853043240388818e-15,2042.5167525475915,1910.329016266036
NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,705,2,1,10.176457295094345,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.2390679656336865,0.0310040077089482,4.4583098910187354e-14,516.7887552091049,393.7174145331736
NRC Emotion Lexicon,trust,Trust,COVID-to-climate,705,4,1,30.727822713503883,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.4987551211511017,0.0634256189846873,1.4758238383483332e-14,1611.9070593206527,1479.719323039097
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,705,3,1,15.256620180032952,5,1,705,classical nonrobust,0,finite-sample Monte Carlo; nsim=100000; seed=20260816,5.5914384136604856,6.278261785461958,6.587714741611035,7.339057663328569,8.733965950084494,9.633686109641983,above_upper_bound,-0.3429411186111651,0.0576279068842187,4.274256814551079e-09,719.1813246968659,591.5517862181224
