measurement,metric,label,direction,n,ljung_box_p_lag7,ljung_box_p_lag14,ljung_box_p_lag30,arch_lm_pvalue_lag7,jarque_bera_pvalue,cusum_pvalue,minimum_root_modulus
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,705,0.32299811702422,0.631788685956009,0.3880364293550158,1.3683361807215463e-05,2.106804535168683e-05,0.7441027377291489,2.123810736381633
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,705,0.0009601586535359,7.66153154083203e-05,0.0001030743880669,1.4239611102343921e-08,6.108711085110504e-253,0.9934725789329544,1.3037219634352957
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,705,0.9119290409969458,0.974890802778097,0.8473588572350091,4.864974024206184e-05,6.839143698855441e-12,0.853714229380163,2.15139440849991
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,705,0.0392121617990614,0.020185467766349,0.0408813365984379,1.9052668707153887e-07,0.0,0.8578043723222837,1.2416003239338107
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,705,0.9968590053348269,0.7789640737028436,0.8436052780670305,3.402357463435146e-06,9.30642536517272e-28,0.9956284957746954,1.3198352235631454
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,705,0.0943742384626438,0.0280182202154617,0.0233467528200207,1.3729689435570432e-14,0.0,0.9885106044280304,1.225655295941974
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,705,0.0274209294065357,0.0409259719250585,0.1608555143472156,0.0213299851638215,9.086234638413592e-09,0.6155304808156327,4.874435749881969
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,705,0.4626184642240816,0.5472341224046152,0.652791366450327,0.2467738810841515,0.0,0.9768868111591869,1.1980631983109835
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,705,0.8927466976746973,0.950873218326246,0.7827043888618088,0.9653019153154812,7.228065067069812e-114,0.9286814172090008,2.0150329776936817
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,705,0.2590311024991916,0.2838791176598972,0.7122911000637132,1.0274538797217365e-07,4.988027528621164e-05,0.9141610727436538,1.1757905018929466
NRC Emotion Lexicon,anticipation,Anticipation,COVID-to-climate,705,0.9052116765885412,0.959355346710029,0.79122189104773,0.0072322097631958,2.000114870622157e-28,0.9706528215468564,1.3520700769746723
NRC Emotion Lexicon,anticipation,Anticipation,climate-to-COVID,705,0.5325586215890099,0.7244325536123932,0.8447389243462149,1.6695992176218612e-10,6.184899027769664e-15,0.9494586297667822,1.2268402715175413
NRC Emotion Lexicon,trust,Trust,COVID-to-climate,705,0.8525115457917897,0.536425476454611,0.4301592515248665,0.0075826658136683,2.277991682328133e-06,0.9692509970679942,1.348605785562684
NRC Emotion Lexicon,trust,Trust,climate-to-COVID,705,0.1752327809606164,0.2197132843156784,0.06408533370267,1.826133362467081e-13,2.7822976352938637e-121,0.8117392099749987,1.3083788638028782
NRC Emotion Lexicon,surprise,Surprise,COVID-to-climate,705,0.3351132006644353,0.7770204320077697,0.4776437972055303,0.139402449801234,3.737817521499251e-36,0.8653629705383097,1.9497842017351292
NRC Emotion Lexicon,surprise,Surprise,climate-to-COVID,705,0.0214542868236265,0.0657737543200516,0.0006558405996999,0.9105947042072874,0.0,0.8823623140031018,1.4494032344307195
NRC Emotion Lexicon,negative,Negative emotion,COVID-to-climate,705,0.670543367998102,0.3227811618497065,0.1293133756291993,0.0205923030300284,0.363768785226681,0.8966151709586442,1.3242763977613468
NRC Emotion Lexicon,negative,Negative emotion,climate-to-COVID,705,0.0106732398814286,0.0172786484608829,0.0554393306062917,2.527892779572091e-12,6.70287219773998e-174,0.9395548471062474,1.249633518217799
NRC Emotion Lexicon,positive,Positive emotion,COVID-to-climate,705,0.9773017509427908,0.9605749430760608,0.5196104791684679,0.3087468291092762,0.1116014280444682,0.9995704212127468,1.320822794518837
NRC Emotion Lexicon,positive,Positive emotion,climate-to-COVID,705,0.6311474940513218,0.1730139383070978,0.6294585154918153,0.0001645575726584,5.642431961954865e-79,0.5673326029426589,1.24825561034136
LIWC-22,emo_anger,Anger,COVID-to-climate,705,0.8262897007271102,0.7319820455080184,0.795786033784867,0.1289606282517714,2.1626344039419227e-22,0.7063972653716808,8.231603964019941
LIWC-22,emo_anger,Anger,climate-to-COVID,705,0.9970905300039226,0.5006835260452834,0.5857884507208451,1.604349407854385e-21,3.382657932858818e-85,0.8797302854839365,1.136002531958326
LIWC-22,emo_sad,Sadness,COVID-to-climate,705,0.1163994539142056,0.1342809100165833,0.0932459235094286,0.476412885932618,1.6061753882893518e-17,0.9909301281277956,146.80344788352522
