measurement,metric,label,direction,n_max6_hb14,selected_p_max6_hb14,selected_q_max6_hb14,bic_max6_hb14,ecm_coefficient_max6_hb14,ecm_pvalue_max6_hb14,short_run_coefficient_max6_hb14,short_run_pvalue_max6_hb14,long_run_coefficient_max6_hb14,long_run_pvalue_max6_hb14,n_max14_hb14,selected_p_max14_hb14,selected_q_max14_hb14,bic_max14_hb14,ecm_coefficient_max14_hb14,ecm_pvalue_max14_hb14,short_run_coefficient_max14_hb14,short_run_pvalue_max14_hb14,long_run_coefficient_max14_hb14,long_run_pvalue_max14_hb14,short_run_sign_same,short_run_significant_max6_hb14,short_run_significant_max14_hb14,short_run_significance_same,short_run_coefficient_change,short_run_absolute_change,long_run_sign_same,long_run_significant_max6_hb14,long_run_significant_max14_hb14,long_run_significance_same,long_run_coefficient_change,long_run_absolute_change,selected_p_same,selected_q_same
NRC Emotion Lexicon,anger,Anger,COVID-to-climate,697,2,1,1770.3145379854482,-0.7200954447199176,2.1119170273855267e-31,0.13884572396681097,0.00655900198835789,0.1272452252936415,0.013524637097847856,697,2,1,1770.3145379854482,-0.7200954447199176,2.1119170273855267e-31,0.13884572396681097,0.00655900198835789,0.1272452252936415,0.013524637097847856,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,anger,Anger,climate-to-COVID,697,5,1,1314.6458692781644,-0.2676563006386361,4.704730039462338e-08,0.06671290394686324,0.011155712270385204,0.16543790543360407,0.18906417701675504,697,5,1,1314.6458692781644,-0.2676563006386361,4.704730039462338e-08,0.06671290394686324,0.011155712270385204,0.16543790543360407,0.18906417701675504,True,True,True,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,sadness,Sadness,COVID-to-climate,697,2,1,1882.895432386046,-0.6774723261366427,1.4809949448890305e-34,0.1824748825897926,0.036866470297288824,0.33481027382979994,0.0027562654055577323,697,2,1,1882.895432386046,-0.6774723261366427,1.4809949448890305e-34,0.1824748825897926,0.036866470297288824,0.33481027382979994,0.0027562654055577323,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,sadness,Sadness,climate-to-COVID,697,2,1,1113.344140178054,-0.2708998543351017,5.316142105493816e-14,0.05645216438051442,0.061942628430208355,0.33098315570883985,0.0014326852346683177,697,2,1,1113.344140178054,-0.2708998543351017,5.316142105493816e-14,0.05645216438051442,0.061942628430208355,0.33098315570883985,0.0014326852346683177,True,False,False,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,fear,Fear,COVID-to-climate,697,4,1,1645.0900328612238,-0.4560930938317618,5.908189853488533e-15,0.2793071168779516,0.042293153575326176,0.32435023449835687,0.02622368505593514,697,4,1,1645.0900328612238,-0.4560930938317618,5.908189853488533e-15,0.2793071168779516,0.042293153575326176,0.32435023449835687,0.02622368505593514,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,fear,Fear,climate-to-COVID,697,2,1,36.096741649677085,-0.1985591340650691,1.9582251516869502e-14,0.023528027654369673,0.04240368562192456,0.060927946464598155,0.3533292137251972,697,2,1,36.096741649677085,-0.1985591340650691,1.9582251516869502e-14,0.023528027654369673,0.04240368562192456,0.060927946464598155,0.3533292137251972,True,True,True,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,disgust,Disgust,COVID-to-climate,697,1,1,1953.586204653108,-0.7880018191866284,1.8232657637089244e-56,0.27325310132770636,0.002491595806973193,0.368539546997382,0.0003873335315271005,697,1,1,1953.586204653108,-0.7880018191866284,1.8232657637089244e-56,0.27325310132770636,0.002491595806973193,0.368539546997382,0.0003873335315271005,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,disgust,Disgust,climate-to-COVID,697,3,1,648.4048544380746,-0.22820789768311806,5.403796738400721e-11,0.039886583222394606,0.029679127745241344,0.15178978729120024,0.030928349742451226,697,3,1,648.4048544380746,-0.22820789768311806,5.403796738400721e-11,0.039886583222394606,0.029679127745241344,0.15178978729120024,0.030928349742451226,True,True,True,True,0.0,0.0,True,True,True,True,0.0,0.0,True,True
NRC Emotion Lexicon,joy,Joy,COVID-to-climate,697,2,1,2009.469499324951,-0.6390699649791142,1.8290950361842134e-18,0.16058357926471742,0.30926718135117864,0.06814700155734352,0.7628215003808743,697,2,1,2009.469499324951,-0.6390699649791142,1.8290950361842134e-18,0.16058357926471742,0.30926718135117864,0.06814700155734352,0.7628215003808743,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
NRC Emotion Lexicon,joy,Joy,climate-to-COVID,697,2,1,-48.99228374218532,-0.23504957710405736,3.5502997999894206e-16,0.007061567574923812,0.4172569850674226,0.036046197842824215,0.4477877392671509,697,2,1,-48.99228374218532,-0.23504957710405736,3.5502997999894206e-16,0.007061567574923812,0.4172569850674226,0.036046197842824215,0.4477877392671509,True,False,False,True,0.0,0.0,True,False,False,True,0.0,0.0,True,True
