date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-01-21,3229,664,6,3899,0.18547140649149924,0
2020-01-22,3804,957,21,4782,0.5490196078431373,0
2020-01-23,3003,2081,13,5097,0.43103448275862066,0
2020-01-24,3192,3413,17,6622,0.5297600498597694,0
2020-01-25,2264,4379,18,6661,0.7887817703768624,0
2020-01-26,2042,4906,28,6976,1.3526570048309179,0
2020-01-27,2412,5318,30,7760,1.2285012285012284,0
2020-01-28,2486,5502,33,8021,1.3100436681222707,0
2020-01-29,2685,4675,27,7387,0.995575221238938,0
2020-01-30,2613,5581,34,8228,1.2844729882886285,0
2020-01-31,2283,5996,31,8310,1.3396715643906656,0
2020-02-01,1948,4724,22,6694,1.116751269035533,0
2020-02-02,1864,4124,17,6005,0.9037745879851143,0
2020-02-03,2197,3988,18,6203,0.8126410835214447,0
2020-02-04,2476,3953,17,6446,0.681909346169274,0
2020-02-05,2339,3770,16,6125,0.6794055201698515,0
2020-02-06,2179,3739,20,5938,0.9095043201455207,0
2020-02-07,2560,4201,17,6778,0.6596818005432673,0
2020-02-08,2650,3287,21,5958,0.786222388618495,0
2020-02-09,2233,3227,18,5478,0.7996446023989338,0
2020-02-10,2570,4028,21,6619,0.8104978772674644,0
2020-02-11,2546,3918,29,6493,1.1262135922330097,0
2020-02-12,3034,3832,25,6891,0.8172605426610003,0
2020-02-13,2924,4033,23,6980,0.7804546996946047,0
2020-02-14,2489,3513,24,6026,0.9550338241146041,0
2020-02-15,2131,3098,22,5251,1.0218300046446818,0
2020-02-16,2153,3219,25,5397,1.147842056932966,0
2020-02-17,2687,3777,27,6491,0.9948415622697125,0
2020-02-18,3375,3505,19,6899,0.5598114319387153,0
2020-02-19,2765,3171,17,5953,0.6110711718188354,0
2020-02-20,2789,3390,19,6198,0.6766381766381766,0
2020-02-21,2417,4372,25,6814,1.0237510237510237,0
2020-02-22,2077,4492,13,6582,0.6220095693779905,0
2020-02-23,2355,4925,36,7316,1.5056461731493098,0
2020-02-24,2593,8230,54,10877,2.040045334340763,0
2020-02-25,2827,9597,54,12478,1.8743491843110032,0
2020-02-26,2800,11641,70,14511,2.4390243902439024,0
2020-02-27,2515,16508,89,19112,3.417818740399386,0
2020-02-28,2407,18653,96,21156,3.835397522972433,0
2020-02-29,2052,16789,99,18940,4.602510460251046,1
2020-03-01,2194,14860,85,17139,3.7297060114085125,0
2020-03-02,2231,17556,72,19859,3.1263569257490227,1
2020-03-03,2682,18844,85,21611,3.0719190458980847,0
2020-03-04,4360,18798,114,23272,2.548055431381314,6
2020-03-05,2884,19718,142,22744,4.692663582286848,3
2020-03-06,2301,20632,113,23046,4.68102734051367,2
2020-03-07,1768,20207,77,22052,4.173441734417344,3
2020-03-08,2119,20013,111,22243,4.977578475336323,3
2020-03-09,2286,26231,153,28670,6.273062730627306,5
2020-03-10,2377,32803,178,35358,6.966731898238747,4
2020-03-11,3585,39739,259,43583,6.73777315296566,4
2020-03-12,2339,63284,334,65957,12.495323606434718,7
2020-03-13,1656,63639,283,65578,14.595152140278495,12
2020-03-14,1336,51457,201,52994,13.077423552374757,7
2020-03-15,1408,50481,242,52131,14.666666666666666,11
2020-03-16,1847,57264,286,59397,13.408345053914674,13
2020-03-17,1541,59203,268,61012,14.814814814814813,18
2020-03-18,1903,63463,328,65694,14.701927386822053,21
2020-03-19,1710,63389,295,65394,14.713216957605985,28
2020-03-20,1198,63357,276,64831,18.724559023066487,64
2020-03-21,1186,57228,244,58658,17.062937062937063,69
2020-03-22,1332,57163,295,58790,18.131530424093423,92
2020-03-23,1333,61492,237,63062,15.095541401273884,112
2020-03-24,1330,64269,292,65891,18.002466091245374,118
2020-03-25,1256,61412,261,62929,17.20500988793672,164
2020-03-26,1245,62270,276,63791,18.14595660749507,209
2020-03-27,1255,63395,242,64892,16.165664662658653,301
2020-03-28,1152,52375,231,53758,16.702819956616054,341
2020-03-29,1038,53515,227,54780,17.94466403162055,487
2020-03-30,1077,57277,251,58605,18.90060240963855,556
2020-03-31,1268,55608,248,57124,16.358839050131927,665
2020-04-01,1238,55476,253,56967,16.968477531857815,631
2020-04-02,1241,58315,276,59832,18.19380355965722,982
2020-04-03,1259,57363,261,58883,17.17105263157895,1121
2020-04-04,1006,50443,199,51648,16.51452282157676,1311
2020-04-05,1117,48551,215,49883,16.14114114114114,1376
2020-04-06,1111,55580,218,56909,16.4033107599699,1540
2020-04-07,1054,52574,176,53804,14.308943089430896,1873
2020-04-08,2008,53788,268,56064,11.775043936731107,1691
2020-04-09,1720,50793,257,52770,12.999494183105718,2093
2020-04-10,1374,45912,186,47472,11.923076923076923,2221
2020-04-11,1272,41926,175,43373,12.093987560469937,2230
2020-04-12,1199,40495,172,41866,12.545587162654998,2241
2020-04-13,1729,44772,193,46694,10.04162330905307,2192
2020-04-14,1869,46242,230,48341,10.95759885659838,1857
2020-04-15,1567,54127,229,55923,12.750556792873052,1905
2020-04-16,1450,50122,207,51779,12.492456246228123,2432
2020-04-17,1421,45952,197,47570,12.175525339925834,2731
2020-04-18,1127,41608,162,42897,12.56788207913111,2445
2020-04-19,1168,43315,176,44659,13.095238095238097,2336
2020-04-20,1404,45374,195,46973,12.195121951219512,1848
2020-04-21,1428,46299,218,47945,13.24422843256379,1993
2020-04-22,1823,47775,323,49921,15.051258154706431,2077
2020-04-23,1658,45624,223,47505,11.855396065922381,2673
2020-04-24,1512,44224,194,45930,11.371629542790153,2221
2020-04-25,1272,37083,153,38508,10.73684210526316,1984
2020-04-26,1254,36842,150,38246,10.683760683760683,2103
2020-04-27,1179,41539,157,42875,11.751497005988023,1892
2020-04-28,1365,42335,220,43920,13.880126182965299,1535
2020-04-29,1291,42447,162,43900,11.149346180316586,1489
2020-04-30,1590,43213,210,45013,11.666666666666666,2111
2020-05-01,1375,40525,157,42057,10.248041775456919,2417
2020-05-02,1005,32533,125,33663,11.061946902654867,2238
2020-05-03,1101,35035,146,36282,11.708099438652766,1953
2020-05-04,1128,39307,171,40606,13.163972286374134,1609
2020-05-05,1348,40624,166,42138,10.96433289299868,1412
2020-05-06,1276,39889,179,41344,12.302405498281786,1271
2020-05-07,1268,40325,158,41751,11.079943899018232,2434
2020-05-08,1154,38493,154,39801,11.773700305810397,2341
2020-05-09,1402,34876,151,36429,9.723116548615582,2033
2020-05-10,1225,34729,152,36106,11.038489469862018,1658
2020-05-11,1335,37613,162,39110,10.821643286573146,1491
2020-05-12,1342,39769,140,41251,9.446693657219974,1073
2020-05-13,1373,41114,173,42660,11.190168175937904,1034
2020-05-14,1328,42478,172,43978,11.466666666666667,1533
2020-05-15,1367,40731,177,42275,11.463730569948186,1507
2020-05-16,1110,33027,120,34257,9.75609756097561,1943
2020-05-17,1149,33170,146,34465,11.274131274131275,1549
2020-05-18,1302,39122,153,40577,10.515463917525773,1239
2020-05-19,1376,37379,167,38922,10.823071937783538,927
2020-05-20,1182,35600,178,36960,13.088235294117649,946
2020-05-21,1243,38229,169,39641,11.968838526912181,1179
2020-05-22,1131,35776,163,37070,12.59659969088099,1374
2020-05-23,1120,30655,125,31900,10.040160642570282,1083
2020-05-24,1103,32335,127,33565,10.325203252032521,1810
2020-05-25,1121,33620,161,34902,12.558502340093602,937
2020-05-26,1532,36866,162,38560,9.563164108618654,788
2020-05-27,1291,34857,137,36285,9.593837535014007,687
2020-05-28,1179,35532,120,36831,9.237875288683602,811
2020-05-29,974,32252,167,33393,14.636283961437336,1285
